"","lat","lng"
"437",42.3115658,-82.9447583
"438",36.0726354,-79.7919754
"439",20.593684,78.96288
"440",28.7103063,77.1837328
"441",38.8816208,-77.0909809
"442",29.063309,-82.05077
"443",45.3473925,-80.034783
"444",41.6032207,-73.087749
"445",41.3850639,2.1734035
"446",33.701925,-84.3168932
"447",52.9547832,-1.1581086
"448",41.2042616,-73.7270761
"449",3.139003,101.686855
"450",32.2217429,-110.926479
"451",42.2411344,-88.3161965
"452",36.1539816,-95.992775
"453",51.9048039,-8.9588478
"454",41.947969,-87.7861711
"455",34.2257255,-77.9447102
"456",36.8507689,-76.2858726
"457",40.3572976,-74.6672226
"458",37.8031056,-89.0275744
"459",34.502587,-84.9510542
"460",29.98556,-97.1338899
"461",-33.9248685,18.4240553
"462",51.8968917,-8.4863157
"463",42.583645,-83.2454883
"464",34.7540524,-77.4302414
"465",42.5629668,-114.4608711
"466",35.2225668,-97.4394777
"467",33.6188829,-117.9298493
"468",53.1423672,-7.6920536
"469",51.5672808,-0.2710568
"470",33.5206608,-86.80249
"471",54.0103942,-2.7877294
"472",42.9876575,-80.5974658
"473",52.2729944,-0.8755515
"474",39.165325,-86.5263857
"475",39.0398315,-76.9930319
"476",26.1947962,-98.1836216
"477",42.1306563,-70.9161551
"478",39.1031182,-84.5120196
"479",-22.9716666,90.675
"480",53.3638428,-6.4900033
"481",40.8489887,-73.6448505
"482",35.9828412,-86.5186045
"483",41.8320432,-86.2591094
"484",31.056794,-82.272327
"485",40.735657,-74.1723667
"486",40.767323,-74.2048677
"487",39.4189762,-92.4417111
"488",35.9131996,-79.0558445
"489",40.0362184,-75.5138118
"490",40.6639916,-74.2107006
"491",44.3276037,-76.1643011
"492",30.0810395,-97.8435878
"493",50.718412,-3.533899
"494",40.3025907,-74.511172
"495",44.4267674,26.1025384
"496",42.4072107,-71.3824374
"497",39.0249705,-111.5102702
"498",50.77749,6.10362
"499",53.9498042,-1.0989716
"500",53.9992906,-1.1344697
"501",53.9891159,-0.7810217
"502",52.4579659,4.7510425
"503",38.8942786,-77.4310992
"504",-14.235004,-51.92528
"505",40.4167515,-3.7038322
"506",39.4863773,-75.0259637
"507",42.7070354,-71.1631137
"508",41.2074444,-73.9973089
"509",55.953252,-3.188267
"510",35.7475692,-95.370026
"511",51.5797465,-0.1236767
"512",51.5390261,-0.1425516
"513",36.2950067,-95.8353466
"514",52.205337,0.121817
"515",40.0378755,-76.3055144
"516",-7.3195005,72.4228556
"517",42.768967,-73.4509464
"518",55.755826,37.6172999
"519",-27.6624852,152.8906379
"520",19.0759837,72.8776559
"521",30.2460361,-87.7008193
"522",-12.0463731,-77.042754
"523",63.746693,-68.5169669
"524",52.97894,-0.026577
"525",40.0131418,-75.2304038
"526",40.3780674,-80.0666743
"527",40.3791324,-80.0451348
"528",45.5230622,-122.6764815
"529",43.8975446,-78.9429329
"530",45.400879,-75.6520144
"531",46.6020711,-120.5058987
"532",41.7747878,-78.0205602
"533",41.2709274,-73.7776336
"534",40.6955339,-73.9874589
"535",25.9428707,-80.1233802
"536",-31.9505269,115.8604572
"537",40.7552678,-73.8166179
"538",43.8310379,-79.0353927
"539",40.8525549,-73.9310241
"540",43.6187102,-116.2146068
"541",35.9940329,-78.898619
"542",-34.9284989,138.6007456
"543",3.320482,101.5759238
"544",-23.5661356,-46.8730301
"545",-22.6874722,-46.9972634
"546",38.0564679,-83.9432556
"547",40.463667,-3.74922
"548",34.4208305,-119.6981901
"549",41.8077115,-87.7602365
"550",40.8842544,-74.5625386
"551",40.940029,-75.9894498
"552",32.5890238,-96.3088693
"553",10.691803,-61.222503
"554",41.6611187,-92.0090673
"555",21.3069444,-157.8583333
"556",47.2528768,-122.4442906
"557",41.117744,-73.4081575
"558",-26.6525593,150.7040975
"559",-22.9068467,-43.1728965
"560",36.8364744,-119.8034712
"561",33.8360034,-79.0478143
"562",38.9108325,-75.5276699
"563",38.6608855,-90.422618
"564",45.3840077,-122.7639851
"565",52.2257,-2.742772
"566",46.3523219,-124.0543234
"567",39.6048253,-76.8499774
"568",41.8953045,-87.6485181
"569",41.0814447,-81.5190053
"570",45.4562158,-123.8440137
"571",40.8257625,-96.6851982
"572",40.2203907,-74.0120817
"573",37.9100783,-122.0651819
"574",41.3838782,-72.9026064
"575",29.9510658,-90.0715323
"576",39.6837226,-75.7496572
"577",37.8043637,-122.2711137
"578",40.0578384,-74.1371832
"579",39.1434406,-77.2013705
"580",43.2177791,-79.9872835
"581",42.3353339,-71.0422975
"582",40.7281575,-74.0776417
"583",34.2331373,-102.4107493
"584",51.8097823,-0.2376744
"585",40.8447819,-73.8648268
"586",-22.9035842,-43.5662438
"587",-7.9666204,112.6326321
"588",33.5481597,-86.5444288
"589",44.3034024,-70.1194984
"590",42.2553651,-73.9023518
"591",37.2385931,-113.3591167
"592",40.7607793,-111.8910474
"593",39.7817213,-89.6501481
"594",35.2827524,-120.6596156
"595",33.046233,-96.994174
"596",38.7881062,-90.4974359
"597",45.7809491,-122.5334307
"598",42.5678534,-83.373339
"599",47.138113,-122.893962
"600",26.640628,-81.8723084
"601",43.2557206,-79.8711024
"602",42.9370281,-74.2627862
"603",39.440336,-84.3621634
"604",51.5148198,-0.0650534
"605",35.8422967,-90.704279
"606",45.6318397,-122.6716063
"607",51.674078,-4.9088785
"608",41.5032306,-81.6586103
"609",51.515973,-0.174943
"610",42.2625932,-71.8022934
"611",43.5407172,-116.5634625
"612",30.2240897,-92.0198427
"613",33.2098407,-87.5691735
"614",39.9537358,-74.1979458
"615",31.5687848,-93.4840645
"616",37.7719074,-87.1111676
"617",33.399661,-91.0377029
"618",40.9293759,-73.1025502
"619",31.9973456,-102.0779146
"620",41.2523634,-95.9979883
"621",34.804667,-92.350843
"622",34.2205588,-79.8029719
"623",50.7155591,-3.530875
"624",36.1556456,-86.8487776
"625",35.2923513,-81.5356463
"626",41.9340158,-87.6610104
"627",37.6390972,-120.9968782
"628",41.2575524,-70.8149683
"629",42.1711365,-87.8445119
"630",53.258663,-2.119287
"631",42.0629915,-88.1227199
"632",43.450301,-80.4831917
"633",38.6533445,-94.3488372
"634",-17.8251657,31.03351
"635",40.7553478,-73.9878926
"636",9.081999,8.675277
"637",44.894313,-71.496296
"638",40.7400682,-73.9868082
"639",38.9531162,-77.4565388
"640",38.9128327,-77.0502784
"641",54.283113,-0.399752
"642",54.7877149,-6.4923145
"643",40.0104668,-75.2582447
"644",26.1224386,-80.1373174
"645",39.0858853,-94.5848109
"646",40.7842667,-74.6968284
"647",37.2295733,-80.4139393
"648",42.8806437,-71.3273346
"649",46.2043907,6.1431577
"650",40.0466571,-76.1783739
"651",35.995627,-78.8998836
"652",32.9829796,-117.1113107
"653",28.1489021,-80.5883855
"654",35.650711,-78.4563914
"655",33.7096301,-84.4041439
"656",51.5123443,-0.0909852
"657",-6.9614306,106.9270066
"658",60.2933524,25.0377686
"659",-30.559482,22.937506
"660",51.8884148,-2.0872348
"661",51.4998652,-0.163769
"662",41.1536674,-81.3578859
"663",52.6541454,-7.2447879
"664",40.41483,-74.2295891
"665",50.3754565,-4.1426565
"666",50.4392329,-3.5369899
"667",30.375321,69.345116
"668",52.570385,-1.824042
"669",43.106456,-76.2177046
"670",40.5748067,-76.9891453
"671",29.2949612,-95.2788231
"672",50.782998,-0.673061
"673",43.8430176,-79.5394625
"674",33.7543766,-84.3758435
"675",36.785262,11.9918779
